days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
118,2026-04-14,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.6848,1,25,11,0.0417,417.04,390.56,0.9365,8,218,145,0.0396,0,0,0
117,2026-04-15,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.5558,1,25,11,0.0417,417.04,375.89,0.9013,8,218,145,0.0396,0,0,0
116,2026-04-16,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.4332,1,25,11,0.0417,417.04,361.80,0.8675,8,218,145,0.0396,0,0,0
115,2026-04-17,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.3166,1,25,11,0.0417,417.04,348.26,0.8351,8,218,144,0.0396,0,0,0
114,2026-04-18,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.2056,1,25,11,0.0417,417.04,335.25,0.8039,8,218,144,0.0396,0,0,0
113,2026-04-19,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,2.1001,1,25,11,0.0417,417.04,322.76,0.8707,9,217,144,0.0446,0,0,1
112,2026-04-20,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.9997,1,25,11,0.0417,417.04,349.59,0.8383,9,217,143,0.0446,0,0,0
111,2026-04-21,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.9042,1,25,11,0.0417,417.04,336.61,0.8968,10,216,143,0.0495,1,0,0
110,2026-04-22,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.8134,1,25,11,0.0417,417.04,360.16,1.0363,12,214,143,0.0594,1,0,1
109,2026-04-23,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.7270,1,25,11,0.0417,417.04,416.21,0.9980,12,214,142,0.0594,0,0,0
108,2026-04-24,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.6448,1,25,11,0.0417,417.04,400.87,0.9612,12,214,142,0.0594,0,0,0
107,2026-04-25,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,1.5666,1,25,11,0.0417,417.04,386.12,1.0802,14,212,141,0.0693,2,0,0
106,2026-04-26,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1042.85,1.4922,1,25,11,0.0417,417.04,433.94,1.0405,14,212,141,0.0693,0,0,0
105,2026-04-27,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,993.41,1.4215,1,25,11,0.0417,417.04,418.06,1.0024,14,212,140,0.0693,0,0,0
104,2026-04-28,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,946.38,1.3542,1,25,11,0.0417,417.04,402.80,0.9658,14,212,140,0.0693,0,0,0
103,2026-04-29,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,901.65,1.2902,1,25,11,0.0417,417.04,388.14,0.9972,15,211,139,0.0743,1,0,0
102,2026-04-30,1683.84,1010.30,2.7601,1,51,28,0.0200,698.86,859.09,1.2293,1,25,10,0.0417,417.04,400.77,0.9610,15,211,139,0.0743,0,0,1
101,2026-05-01,1683.84,2525.76,2.6005,1,51,28,0.0200,698.86,818.62,1.1714,1,25,10,0.0417,417.04,386.27,0.9262,15,211,138,0.0743,0,0,0
100,2026-05-02,1683.84,2525.76,2.4502,1,51,27,0.0200,698.86,780.11,1.1163,1,25,10,0.0417,417.04,372.34,0.8928,15,211,138,0.0743,0,0,0
